5.980600969540087464e-01,2.422562397515104493e-02,3.053865426871363864e-01,8.947592828242183494e-01,4.862678055026459223e-01
8.759166483976547068e-01,9.628313006652566841e-03,1.363709755020814374e-01,6.270425783090938232e-02,4.711140333179555384e-01
3.522851650893439324e-01,6.820314163301166577e-02,5.949337500063553996e-01,9.743566942191612679e-01,5.614152413042572398e-02
1.687806753881341271e-01,5.125377540362748841e-01,8.706792838094025155e-01,4.021199140112945436e-01,6.165223065899937405e-01
2.779765536439440243e-01,9.832351229226983236e-01,7.195248230446966708e-01,7.152863751094887812e-01,3.102857686732199971e-01
3.207752389632493317e-01,9.761357376597035174e-02,3.103375557021847975e-01,6.957680208052966497e-01,4.456326972313628954e-02
9.956803660427164804e-01,5.969039334828885046e-01,9.538092414623938753e-01,1.880608579912912415e-01,6.421566505762789090e-01
2.756685226007523637e-01,4.321942201668371730e-02,7.569788353893858179e-02,2.524227553978367622e-01,4.752532738404044999e-01
3.055050546105744225e-01,7.675628416864783699e-01,2.165560893372564522e-01,6.654599937940883780e-01,5.516254193047051002e-01
6.954784754466989405e-01,8.608599490248739494e-01,9.860846069811193271e-01,8.771234971759506172e-01,1.743659601663249958e-02
